Date,Open,High,Low,Close,Volume
17-Nov-16,28.37,28.92,28.35,28.87,8889702
18-Nov-16,28.84,28.95,28.56,28.69,11668691
21-Nov-16,28.73,29.14,28.67,29,7376141
22-Nov-16,29.44,29.44,28.93,29.06,7369241
23-Nov-16,28.99,29.07,28.65,28.9,6033410
25-Nov-16,28.94,28.99,28.75,28.95,3076016
28-Nov-16,28.84,28.89,28.53,28.57,7245312
29-Nov-16,28.56,28.8,28.5,28.51,7281590
30-Nov-16,28.51,28.59,27.8,27.81,13777124
1-Dec-16,27.92,28.01,27.28,27.39,9775441
2-Dec-16,27.73,28.83,27.69,28.42,14437530
5-Dec-16,28.55,28.9,28.32,28.35,10802850
6-Dec-16,28.3,28.39,28.03,28.21,10387548
7-Dec-16,28.14,28.99,28.14,28.91,10286921
8-Dec-16,28.96,29.87,28.91,29.42,12263198
9-Dec-16,29.61,30.1,29.42,29.97,13548980
12-Dec-16,30.02,30.46,29.84,30.21,14940135
13-Dec-16,30.36,30.52,29.81,29.82,11664270
14-Dec-16,29.85,30.16,29.64,29.82,9624841
15-Dec-16,29.87,29.97,29.65,29.73,10140574
16-Dec-16,29.73,29.92,29.56,29.61,14682006
19-Dec-16,29.7,29.8,29.32,29.38,7814545
20-Dec-16,29.53,29.6,29.01,29.26,11237541
21-Dec-16,29.14,29.39,29.09,29.36,8634796
22-Dec-16,29.28,29.7,29.21,29.54,8865587
23-Dec-16,29.82,29.82,29.42,29.79,8133374
27-Dec-16,29.83,30.37,29.81,30.24,7513429
28-Dec-16,30.24,30.25,29.93,30.01,8118900
29-Dec-16,30.02,30.21,29.83,29.98,7119575
30-Dec-16,30.38,30.38,29.57,29.69,8189666
3-Jan-17,29.83,30.19,29.64,29.84,7665031
4-Jan-17,29.91,30.01,29.51,29.76,9538779
5-Jan-17,29.73,30.08,29.61,30.01,9062195
6-Jan-17,29.97,31.16,29.78,31.05,13351423
9-Jan-17,31,31.03,30.6,30.75,10532655
10-Jan-17,30.67,30.72,29.84,30.25,13833143
11-Jan-17,30.3,30.42,30.01,30.41,8168999
12-Jan-17,30.8,30.8,30.1,30.35,7890497
13-Jan-17,30.21,30.35,29.84,30.29,7822793
17-Jan-17,30.33,30.69,30.11,30.29,7447149
18-Jan-17,30.29,30.48,30.14,30.39,9523703
19-Jan-17,30.26,30.84,30.19,30.72,14112364
20-Jan-17,30.84,30.96,30.52,30.64,8496268
23-Jan-17,30.64,30.65,30.06,30.27,9341136
24-Jan-17,30.3,30.33,29.7,29.99,16925426
25-Jan-17,30.25,30.5,30.11,30.23,25216974
26-Jan-17,32.37,32.85,31.54,31.74,32044354
27-Jan-17,31.95,32.61,31.36,32.51,17406740
30-Jan-17,32.23,32.28,31.8,32.17,11247659
31-Jan-17,31.89,32,31.53,31.83,9469076
1-Feb-17,31.9,32.24,31.83,32.18,9700776
2-Feb-17,32.06,32.21,31.86,31.97,6028585
3-Feb-17,32.11,32.2,31.91,32.07,5423500
6-Feb-17,32.01,32.24,31.86,32.03,5339846
7-Feb-17,31.95,32.47,31.8,32.43,8135989
8-Feb-17,32.45,33.41,32.28,33.25,17081163
9-Feb-17,33.29,33.35,32.98,33.12,10465621
10-Feb-17,33.11,33.84,33.06,33.63,13492272
13-Feb-17,33.62,34.08,33.56,33.79,10744501
14-Feb-17,33.61,33.96,33.57,33.63,7616370
15-Feb-17,33.62,34.15,33.5,34.01,7994512
16-Feb-17,33.84,34.14,33.46,33.54,8891838
17-Feb-17,33.51,33.9,33.47,33.76,7797304
21-Feb-17,33.76,34.23,33.76,33.92,7237496
22-Feb-17,33.92,34.14,33.63,33.82,7068204
23-Feb-17,33.78,33.93,33.54,33.6,6528369
24-Feb-17,33.55,34.07,33.38,34.06,8098701
27-Feb-17,34.05,34.3,33.82,34.28,7372977
28-Feb-17,34.16,34.28,33.89,33.9,8105294
1-Mar-17,34.11,34.43,34.1,34.27,5736123
2-Mar-17,34.19,34.33,33.74,33.91,4698206
3-Mar-17,33.86,33.87,33.39,33.74,6555859
6-Mar-17,33.67,33.76,33.28,33.64,7728659
7-Mar-17,33.71,33.83,33.4,33.47,6945534
8-Mar-17,33.55,33.55,33.17,33.32,7871940
9-Mar-17,33.27,33.35,33.02,33.18,5545782
10-Mar-17,33.44,33.46,33.06,33.13,4977310
13-Mar-17,33.13,33.22,32.74,32.81,10866190
14-Mar-17,32.85,32.95,32.58,32.86,6829788
15-Mar-17,33.02,33.17,32.56,32.89,9777759
16-Mar-17,32.78,33.2,32.77,33.1,6925875
17-Mar-17,33.3,33.84,33.16,33.7,15941347
20-Mar-17,33.68,34.03,33.45,33.81,7319606
21-Mar-17,33.92,33.99,33.05,33.19,8918477
22-Mar-17,33.26,33.67,33.17,33.53,5486131
23-Mar-17,33.45,33.78,33.33,33.52,4833913
24-Mar-17,33.66,33.67,33.22,33.4,4317756
27-Mar-17,33.16,33.49,32.84,33.43,4994550
28-Mar-17,33.4,33.66,33.3,33.53,4609929
29-Mar-17,33.62,33.78,33.43,33.65,7242686
30-Mar-17,33.65,33.8,33.54,33.7,4993386
31-Mar-17,33.5,33.95,33.45,33.57,10222995
3-Apr-17,33.37,33.91,33.32,33.76,9828733
4-Apr-17,33.76,34.26,33.68,34.14,8679948
5-Apr-17,34.22,34.74,33.78,33.81,11241858
6-Apr-17,34.01,34.32,33.84,34.16,8854889
7-Apr-17,34.11,34.22,33.8,33.91,6644491
10-Apr-17,34,34.36,33.93,34.06,6268147
11-Apr-17,34.09,34.14,33.72,33.99,5165050
12-Apr-17,33.88,34.62,33.88,34.27,10457180
13-Apr-17,34.2,34.7,34.1,34.33,7783090
17-Apr-17,34.35,34.44,34.09,34.44,6951955
18-Apr-17,34.11,34.37,33.81,34.02,7486973
19-Apr-17,34.2,34.34,33.78,33.86,15163999
20-Apr-17,32.86,33.04,32.32,32.53,28093762
21-Apr-17,32.69,32.69,31.94,32.18,14339221
24-Apr-17,32.23,32.56,31.89,32.05,16587843
25-Apr-17,32.11,32.83,31.98,32.81,14449344
26-Apr-17,32.79,33.13,32.62,33.01,11191516
27-Apr-17,33.02,33.12,32.8,33.06,8396400
28-Apr-17,33.01,33.45,32.89,33.41,10127598
1-May-17,33.46,33.58,33.19,33.31,6931655
2-May-17,33.39,33.54,33.33,33.51,6573349
3-May-17,33.6,33.6,33.14,33.26,5661480
4-May-17,33.4,33.68,33.26,33.51,6990253
5-May-17,33.57,33.71,33.44,33.5,8548190
8-May-17,33.52,33.72,33.2,33.24,9140300
9-May-17,33.24,33.87,33.09,33.72,9298549
10-May-17,33.67,34.16,33.67,33.88,8130764
11-May-17,33.7,34.16,33.66,34.12,5595877
12-May-17,34.19,34.28,34,34.07,5118150
15-May-17,34.18,34.37,33.92,34.18,4753773
16-May-17,34.16,34.87,34.15,34.81,6408940
17-May-17,34.56,34.6,33.56,33.58,10453180
18-May-17,33.64,33.91,32.99,33.73,11999754
19-May-17,33.9,34.21,33.6,33.83,8489183
22-May-17,33.86,34.03,33.65,33.86,6508226
23-May-17,34.25,34.86,34.25,34.61,11322412
24-May-17,34.62,34.99,34.44,34.82,9394343
25-May-17,34.88,35.3,34.86,35.22,8498655
26-May-17,35.26,35.26,34.66,34.9,6622496
30-May-17,34.78,34.83,34.37,34.62,7254303
31-May-17,34.92,34.92,34.1,34.3,9762178
